state,div,prepoll,postal,total,v16,p
QLD,hinkler,42873,4871,47744,92927,51.37796334757391
VIC,flinders,41002,9071,50073,105437,47.49091874768819
VIC,indi,39900,4469,44369,96436,46.008751918370734
QLD,fisher,34032,6716,40748,89922,45.314828406841485
VIC,aston,33164,5203,38367,89111,43.055290592631664
QLD,fairfax,37186,4202,41388,98609,41.97182812927826
QLD,longman,35630,4232,39862,96285,41.400010385833724
VIC,gippsland,37227,2177,39404,95880,41.09720483938256
VIC,dunkley,29656,9326,38982,95444,40.84279787100289
QLD,capricornia,31502,5640,37142,91397,40.63809534229789
VIC,maribyrnong,31959,7700,39659,98402,40.30304262108494
VIC,mallee,33304,3662,36966,91735,40.29650624080231
VIC,bruce,27571,7378,34949,87076,40.13620285727411
QLD,flynn,29794,7134,36928,92901,39.749841228834995
QLD,mcpherson,29977,6438,36415,92877,39.20776941546346
VIC,ballarat,32595,7752,40347,103168,39.1080567617866
NSW,richmond,37839,2053,39892,102146,39.05390323654377
NSW,gilmore,37370,4442,41812,107611,38.854763918186805
QLD,dawson,32082,4571,36653,94609,38.741557357122474
QLD,bowman,31558,5463,37021,95979,38.571979287135726
VIC,corangamite,30949,8951,39900,103598,38.51425703198903
VIC,la trobe,28865,8449,37314,98051,38.05570570417436
VIC,calwell,32247,4125,36372,96134,37.83468907982608
VIC,jagajaga,31295,4489,35784,95002,37.66657544051704
VIC,bendigo,32796,5604,38400,102208,37.57044458359424
QLD,dickson,27579,7667,35246,94105,37.45390786886988
QLD,fadden,29318,5652,34970,93647,37.34236013967345
VIC,wannon,29564,5037,34601,92936,37.23099767581992
VIC,melbourne,32708,3391,36099,96983,37.22198735860924
QLD,moncrieff,29886,3136,33022,89971,36.70293761323093
VIC,higgins,25368,8838,34206,93841,36.451018211655885
NSW,paterson,35717,2565,38282,105211,36.385929227932436
NSW,cowper,36627,2906,39533,109073,36.24453347757924
NT,lingiari,15930,843,16773,46525,36.05158516926384
QLD,kennedy,29054,3120,32174,89428,35.97754618240372
QLD,wide bay,27223,6775,33998,94617,35.9322320513227
WA,canning,26761,4937,31698,88237,35.92370547502748
QLD,maranoa,21324,12743,34067,95318,35.74036383474265
QLD,petrie,26068,8167,34235,96679,35.41099928629796
VIC,corio,27042,7649,34691,98996,35.04283001333387
QLD,leichhardt,28893,4467,33360,95820,34.81527864746399
VIC,deakin,21923,10261,32184,92739,34.703846278264805
VIC,goldstein,23911,9364,33275,95903,34.69651627164948
WA,swan,23480,5508,28988,84464,34.319946959651446
NSW,calare,32982,2701,35683,105768,33.73704712200287
VIC,casey,23099,9101,32200,95851,33.59380705469948
QLD,bonner,22137,8910,31047,92747,33.47493719473406
NSW,eden-monaro,29959,3799,33758,100868,33.467502081928856
NT,solomon,18716,840,19556,58665,33.33503792721384
VIC,scullin,23913,9667,33580,100842,33.299617222982484
NSW,sydney,27396,3626,31022,93503,33.177545105504635
QLD,forde,21916,7381,29297,88396,33.14290239377347
VIC,isaacs,27531,4275,31806,96009,33.12814423647783
VIC,chisholm,21438,7993,29431,89159,33.009567177738646
VIC,holt,25615,8937,34552,104873,32.94651626252706
VIC,kooyong,21073,9065,30138,91826,32.82076971663799
NSW,robertson,28218,4653,32871,100319,32.76647494492569
VIC,hotham,23187,6486,29673,90675,32.72456575682382
VIC,lalor,30867,5638,36505,111840,32.6403791130186
SA,mayo,25254,6093,31347,97944,32.005023278608185
NSW,page,31333,3294,34627,108793,31.828334543582766
VIC,gellibrand,28435,2155,30590,96285,31.77026535805162
NSW,lyne,29669,3421,33090,104451,31.679926472700114
NSW,whitlam,30276,2611,32887,104069,31.601149237525107
QLD,groom,20510,9330,29840,94627,31.53434009320807
QLD,rankin,25193,3140,28333,90648,31.256067425646457
VIC,menzies,22557,6017,28574,91872,31.10196795541623
NSW,new england,28458,3032,31490,102200,30.812133072407043
NSW,hunter,29672,2467,32139,104715,30.69187795444779
NSW,wentworth,19980,7169,27149,88641,30.628038943603975
NSW,dobell,25845,5380,31225,102630,30.42482704862126
QLD,herbert,23940,4359,28299,94862,29.83175560287576
QLD,wright,19366,8167,27533,92298,29.83054887429847
VIC,mcewen,29728,6181,35909,120389,29.8274759321865
WA,brand,19882,5184,25066,85320,29.378809188935772
WA,durack,18316,4222,22538,79811,28.23921514578191
NSW,parkes,23730,3792,27522,98717,27.879696506174216
QLD,oxley,18127,5810,23937,86845,27.562899418504234
VIC,gorton,26410,1558,27968,103358,27.059347123589855
QLD,lilley,22540,4176,26716,99050,26.972236244321053
NSW,farrer,23341,4352,27693,103181,26.83924365920082
NSW,riverina,24960,2596,27556,103704,26.571781223482215
NSW,macquarie,22078,3879,25957,97841,26.529777904968267
SA,boothby,18538,7706,26244,99662,26.33300555878871
SA,barker,19829,5686,25515,98673,25.85813748441823
WA,o'connor,18954,4358,23312,90373,25.795314972392198
SA,kingston,18091,6878,24969,97008,25.739114299851558
WA,perth,16497,5666,22163,86905,25.502560266958174
SA,grey,17030,6655,23685,93495,25.332905502968075
VIC,wills,19728,5711,25439,100915,25.2083436555517
NSW,kingsford smith,21736,2620,24356,96983,25.113679717063814
QLD,brisbane,17338,6882,24220,96529,25.090905323788704
QLD,blair,18834,3740,22574,90307,24.99695483185135
QLD,ryan,17671,6552,24223,97082,24.951072289404834
NSW,fowler,21857,1725,23582,94620,24.92284929190446
SA,sturt,16766,7329,24095,96688,24.92036240278008
NSW,cunningham,22104,3258,25362,101857,24.899614164956756
NSW,bennelong,18783,5347,24130,97173,24.83200065861916
WA,forrest,18249,4089,22338,89960,24.83103601600711
NSW,warringah,18840,4038,22878,92277,24.792743587242757
NSW,lindsay,20179,4710,24889,101189,24.596547055509987
NSW,newcastle,21245,4266,25511,104174,24.48883598594659
QLD,griffith,19144,4152,23296,95880,24.297037964121817
NSW,shortland,19260,5261,24521,102883,23.833869541129243
SA,hindmarsh,16390,7939,24329,102264,23.790385668465934
TAS,braddon,13201,2900,16101,68240,23.59466588511137
NSW,hume,19887,3608,23495,100239,23.438980835802433
WA,fremantle,14422,6075,20497,88411,23.183766725859904
NSW,mcmahon,20355,1748,22103,95479,23.14959310424282
QLD,moreton,14064,6427,20491,88589,23.130411224869903
NSW,chifley,19247,2294,21541,93354,23.074533496154423
SA,makin,17884,4684,22568,98436,22.92657157950343
NSW,grayndler,18949,2369,21318,94265,22.61496844003607
WA,hasluck,13546,5552,19098,84676,22.554206622891964
NSW,macarthur,19844,1868,21712,96291,22.54831708051635
NSW,greenway,18790,2644,21434,96365,22.24251543610232
WA,pearce,14274,6003,20277,91182,22.237941699019544
NSW,barton,19033,2224,21257,95693,22.21374604203024
NSW,north sydney,16647,4802,21449,97100,22.089598352214214
NSW,mackellar,17629,4127,21756,99235,21.923716430694814
WA,stirling,12367,6274,18641,86478,21.555771410069614
NSW,blaxland,16961,1929,18890,90314,20.915915583408996
NSW,watson,17390,2062,19452,93160,20.880206097037355
NSW,cook,15522,4341,19863,96368,20.611613813714097
NSW,bradfield,15007,4932,19939,97080,20.538730943551712
NSW,hughes,16514,3581,20095,98090,20.48628810276277
ACT,fenner,24538,1560,26098,127617,20.45025349287321
NSW,werriwa,17505,1896,19401,97942,19.808662269506442
NSW,banks,14894,4136,19030,96488,19.722659812619188
NSW,parramatta,15298,2418,17716,90389,19.599730055648365
WA,curtin,10405,6576,16981,87536,19.398875891061962
NSW,mitchell,13730,4687,18417,95506,19.283605218520304
TAS,bass,9831,3444,13275,68904,19.265935214211076
WA,burt,11063,5693,16756,88261,18.984602485809134
NSW,berowra,14005,4507,18512,98099,18.870732627243907
ACT,canberra,22258,2680,24938,132310,18.84815962512282
WA,tangney,10569,5102,15671,85748,18.275644913000885
NSW,reid,12679,3588,16267,95345,17.061198804342126
TAS,lyons,8699,3322,12021,71689,16.76826291341768
WA,cowan,9449,4127,13576,86208,15.747958426132143
TAS,franklin,8830,2511,11341,72060,15.738273660838189
SA,adelaide,8368,7128,15496,98662,15.706148263769231
WA,moore,9546,3005,12551,90436,13.878322791808573
VIC,fraser,39923,1880,41803,NA,NA
VIC,nicholls,35733,2605,38338,NA,NA
VIC,monash,29018,5186,34204,NA,NA
ACT,bean,26541,1657,28198,NA,NA
VIC,cooper,24371,6931,31302,NA,NA
VIC,macnamara,21182,11041,32223,NA,NA
SA,spence,12794,2413,15207,NA,NA
TAS,clark,9041,3660,12701,NA,NA
